fecha,departamento,municipio,nombre_cultivo,periodo,area_sembrada,area_cosechada,produccion_ton,rendimiento_t_ha,ciclo
2019,Casanare,Yopal,Sabila,2019,25.0,25.0,700.0,28.0,Permanente
2019,Casanare,Yopal,Sacha inchi,2019,20.0,20.0,160.0,8.0,Permanente
2019,Casanare,Yopal,Yuca,2019,250.0,250.0,3.0,12.0,Anual
2020,Casanare,San Luis de Palenque,CACAO,2020,63.5,25.5,10.2,0.4,Permanente
2020,Casanare,San Luis de Palenque,CAÑA MIEL,2020,5.5,4.5,31.5,7.0,Permanente
2020,Casanare,San Luis de Palenque,MARACUYA,2020,14.0,8.0,96.0,12.0,Permanente
2020,Casanare,San Luis de Palenque,PALMA DE ACEITE,2020,344.0,280.0,1036.0,3.7,Permanente
2020,Casanare,San Luis de Palenque,PLATANO,2020,137.0,97.0,1406.5,14.5,Permanente
2020,Casanare,Támara,AGUACATE,2020,36.0,36.0,216.0,6.0,Permanente
2020,Casanare,Támara,BANANO,2020,310.0,310.0,5775.0,18.6,Permanente
2020,Casanare,Támara,CACAO,2020,70.0,70.0,28.0,0.4,Permanente
2020,Casanare,Támara,CAFE,2020,2.584,2.584,1500.0,0.6,Permanente
2020,Casanare,Támara,CAÑA MIEL,2020,183.0,183.0,6405.0,35.0,Permanente
2020,Casanare,Támara,CAÑA PANELERA,2020,5.0,5.0,175.0,35.0,Permanente
2020,Casanare,Támara,CITRICOS,2020,21.0,21.0,315.0,15.0,Permanente
2020,Casanare,Támara,PLATANO,2020,52.0,52.0,780.0,15.0,Permanente
2020,Casanare,Orocué,CACAO,2020,41.0,20.0,15.0,0.8,Permanente
2020,Casanare,Orocué,CAÑA PANELERA,2020,33.0,21.0,105.0,5.0,Permanente
2020,Casanare,Orocué,CAUCHO,2020,439.0,0.0,0.0,0.0,Permanente
2020,Casanare,Orocué,PALMA DE ACEITE,2020,13.85,0.0,0.0,0.0,Permanente
2020,Casanare,Orocué,PIÑA,2020,7.0,3.0,45.0,15.0,Permanente
2020,Casanare,Orocué,PLATANO,2020,250.0,124.0,620.0,5.0,Permanente
2020,Casanare,La Salina,AGUACATE,2020,26.0,12.0,16.5,1.5,Permanente
2020,Casanare,La Salina,CAFE,2020,95.0,84.0,100.8,1.2,Permanente
2020,Casanare,La Salina,CAÑA PANELERA,2020,32.0,31.0,124.0,4.0,Permanente
2020,Casanare,La Salina,CITRICOS,2020,10.5,8.5,21.25,2.5,Permanente
2020,Casanare,La Salina,MORA,2020,9.5,8.5,51.0,6.0,Permanente
2020,Casanare,La Salina,PLATANO,2020,70.0,66.0,138.0,2.0,Permanente
2020,Casanare,Yopal,CACAO,2020,163.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,CAFE,2020,65.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,CAÑA MIEL,2020,22.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,CAÑA PANELERA,2020,3.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,CAUCHO,2020,16.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,CITRICOS,2020,78.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,MARACUYA,2020,19.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,PALMA DE ACEITE,2020,792.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,PAPAYA,2020,50.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,PIÑA,2020,56.5,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,PLATANO,2020,300.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,SABILA,2020,25.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,SACHA INCHI,2020,20.0,0.0,0.0,0.0,Permanente
2020,Casanare,Yopal,PIÑA,2020,5.5,0.0,0.0,0.0,Permanente
2020,Casanare,Sácama,CAFE,2020,119.0,114.0,114.0,1.0,Permanente
2020,Casanare,Sácama,AGUACATE,2020,22.0,4.0,20.0,5.0,Permanente
2020,Casanare,Sácama,CITRICOS,2020,3.0,3.0,24.0,8.0,Permanente
2020,Casanare,Sácama,LULO,2020,11.0,1.0,8.0,8.0,Permanente
2020,Casanare,Sácama,MARACUYA,2020,1.0,0.0,0.0,0.0,Permanente
2020,Casanare,Sácama,MORA,2020,5.0,5.0,15.0,3.0,Permanente
2020,Casanare,Sácama,SABILA,2020,0.5,0.5,0.5,1.0,Permanente
2020,Casanare,Sácama,SACHA INCHI,2020,1.0,0.0,0.0,0.0,Permanente
2020,Casanare,Sácama,CAÑA PANELERA,2020,6.0,6.0,30.0,5.0,Permanente
2020,Casanare,Sácama,GUANABANA,2020,1.0,0.0,0.0,0.0,Permanente
2020,Casanare,Sácama,PLATANO,2020,1.0,1.0,6.0,6.0,Permanente
2020,Casanare,Chámeza,AGUACATE,2020,7.5,7.5,52.5,7.0,Permanente
2020,Casanare,Chámeza,CAFE,2020,17.0,11.0,16.5,1.5,Permanente
2020,Casanare,Chámeza,CAÑA MIEL,2020,24.0,12.0,516.0,43.0,Permanente
2020,Casanare,Chámeza,CAÑA PANELERA,2020,26.0,13.0,585.0,45.0,Permanente
2020,Casanare,Chámeza,LULO,2020,139.0,132.0,3432.0,26.0,Permanente
2020,Casanare,Chámeza,PLATANO,2020,10.0,0.0,0.0,0.0,Permanente
2020,Casanare,Paz de Ariporo,CACAO,2020,161.0,36.0,25.2,0.7,Permanente
2020,Casanare,Paz de Ariporo,CAÑA MIEL,2020,14.0,10.0,40.0,4.0,Permanente
2020,Casanare,Paz de Ariporo,MARACUYA,2020,21.0,15.0,225.0,15.0,Permanente
2020,Casanare,Paz de Ariporo,PAPAYA,2020,15.0,2.0,400.0,200.0,Permanente
2020,Casanare,Paz de Ariporo,PIÑA,2020,6.0,3.0,105.0,35.0,Permanente
2020,Casanare,Paz de Ariporo,PLATANO,2020,210.0,140.0,1120.0,8.0,Permanente
2020,Casanare,Paz de Ariporo,SABILA,2020,5.0,3.0,66.0,22.0,Permanente
2020,Casanare,Chámeza,LIMON TAHITI,2020,1.0,0.0,0.0,0.0,Permanente
2020,Casanare,Chámeza,MARACUYA,2020,1.0,0.0,0.0,0.0,Permanente
2020,Casanare,Chámeza,MORA,2020,1.5,0.0,0.0,0.0,Permanente
2020,Casanare,Chámeza,PITAHAYA,2020,1.5,1.5,6.0,4.0,Permanente
2020,Casanare,Hato Corozal,CAUCHO,2020,150.0,150.0,0.0,0.0,Permanente
2020,Casanare,Hato Corozal,MARACUYA,2020,17.0,14.0,2.0,0.1,Permanente
2020,Casanare,Hato Corozal,PAPAYA,2020,65.0,63.0,4.0,0.1,Permanente
2020,Casanare,Hato Corozal,PIÑA,2020,28.0,23.0,6.0,0.3,Permanente
2020,Casanare,Hato Corozal,PLATANO,2020,420.0,370.0,20.0,0.1,Permanente
2020,Casanare,Sabanalarga,AGUACATE,2020,27.0,15.0,18.0,1.2,Permanente
2020,Casanare,Sabanalarga,CACAO,2020,68.5,35.0,17.5,0.5,Permanente
2020,Casanare,Sabanalarga,CAFE,2020,3.5,3.5,1.4,0.4,Permanente
2020,Casanare,Sabanalarga,CAÑA PANELERA,2020,23.8,20.8,8.32,0.4,Permanente
2020,Casanare,Sabanalarga,CAUCHO,2020,241.0,30.0,66.0,2.2,Permanente
2020,Casanare,Sabanalarga,LULO,2020,6.5,0.0,0.0,0.0,Permanente
2020,Casanare,Sabanalarga,MORA,2020,2.3,0.0,0.0,0.0,Permanente
2020,Casanare,Sabanalarga,NARANJA,2020,9.2,5.0,45.0,9.0,Permanente
2020,Casanare,Sabanalarga,PIÑA,2020,43.0,5.0,175.0,35.0,Permanente
